,Unnamed: 0,Unnamed: 0.1,Customer,Agent,Created Date,Close Date,Duration,SalesAgentEmailID_boris@piedpiper.com,SalesAgentEmailID_cassey@piedpiper.com,SalesAgentEmailID_cecily@piedpiper.com,SalesAgentEmailID_corliss@piedpiper.com,SalesAgentEmailID_daniell@piedpiper.com,SalesAgentEmailID_darcel@piedpiper.com,SalesAgentEmailID_donn@piedpiper.com,SalesAgentEmailID_elease@piedpiper.com,SalesAgentEmailID_garret@piedpiper.com,SalesAgentEmailID_gladys@piedpiper.com,SalesAgentEmailID_hayden@piedpiper.com,SalesAgentEmailID_james@piedpiper.com,SalesAgentEmailID_jonathan@piedpiper.com,SalesAgentEmailID_kami@piedpiper.com,SalesAgentEmailID_kary@piedpiper.com,SalesAgentEmailID_lajuana@piedpiper.com,SalesAgentEmailID_markita@piedpiper.com,SalesAgentEmailID_marty@piedpiper.com,SalesAgentEmailID_maureen@piedpiper.com,SalesAgentEmailID_moses@piedpiper.com,SalesAgentEmailID_niesha@piedpiper.com,SalesAgentEmailID_reed@piedpiper.com,SalesAgentEmailID_rosalina@piedpiper.com,SalesAgentEmailID_rosie@piedpiper.com,SalesAgentEmailID_versie@piedpiper.com,SalesAgentEmailID_vicki@piedpiper.com,SalesAgentEmailID_violet@piedpiper.com,SalesAgentEmailID_wilburn@piedpiper.com,SalesAgentEmailID_zane@piedpiper.com,ContactEmailID_antionette@bluthcompany.com,ContactEmailID_ashlie@sonron.com,ContactEmailID_belinda@finjob.com,ContactEmailID_benny@treequote.com,ContactEmailID_bryan@bioholding.com,ContactEmailID_candice@stanredtax.com,ContactEmailID_cassy@bioplex.com,ContactEmailID_claribel@goodsilron.com,ContactEmailID_corrinne@isdom.com,ContactEmailID_crista@rundofase.com,ContactEmailID_cuc@acmecorporation.com,ContactEmailID_danilo@betasoloin.com,ContactEmailID_darrel@rangreen.com,ContactEmailID_darryl@lexiqvolax.com,ContactEmailID_darwin@dambase.com,ContactEmailID_deanne@plusstrip.com,ContactEmailID_delila@konex.com,ContactEmailID_edison@scottech.com,ContactEmailID_eleonore@donware.com,ContactEmailID_elisa@warephase.com,ContactEmailID_faviola@cancity.com,ContactEmailID_garfield@nam-zim.com,ContactEmailID_gaylord@faxquote.com,ContactEmailID_genie@betatech.com,ContactEmailID_gertrude@massivedynamic.com,ContactEmailID_golda@condax.com,ContactEmailID_gordon@scotfind.com,ContactEmailID_hai@thenewyorkinquirer.com,ContactEmailID_halley@labdrill.com,ContactEmailID_hsiu@fasehatice.com,ContactEmailID_israel@zumgoity.com,ContactEmailID_ivana@konmatfix.com,ContactEmailID_ivory@conecom.com,ContactEmailID_jackie@doncon.com,ContactEmailID_juliette@hottechi.com,ContactEmailID_junko@streethex.com,ContactEmailID_justine@codehow.com,ContactEmailID_karole@gencopuraoliveoilcompany.com,ContactEmailID_kelli@golddex.com,ContactEmailID_kelly@ron-tech.com,ContactEmailID_kenton@kan-code.com,ContactEmailID_kristle@dontechi.com,ContactEmailID_krystle@gekko&co.com,ContactEmailID_laveta@zoomit.com,ContactEmailID_lavone@green-plus.com,ContactEmailID_lavonia@vehementcapitalpartners.com,ContactEmailID_loise@mathtouch.com,ContactEmailID_malissa@donquadtech.com,ContactEmailID_maren@rantouch.com,ContactEmailID_margarito@bubbagump.com,ContactEmailID_maxie@sunnamplex.com,ContactEmailID_mellie@finhigh.com,ContactEmailID_mirta@iselectrics.com,ContactEmailID_monte@kinnamplus.com,ContactEmailID_natisha@groovestreet.com,ContactEmailID_nedra@ontomedia.com,ContactEmailID_nelia@dalttechnology.com,ContactEmailID_orpha@umbrellacorporation.com,ContactEmailID_palmira@inity.com,ContactEmailID_paola@opentech.com,ContactEmailID_pedro@newex.com,ContactEmailID_riley@blackzim.com,ContactEmailID_robbie@cheers.com,ContactEmailID_rosalyn@zencorporation.com,ContactEmailID_rosanne@y-corporation.com,ContactEmailID_salina@gogozoom.com,ContactEmailID_shella@zotware.com,ContactEmailID_shemeka@xx-holding.com,ContactEmailID_sherman@toughzap.com,ContactEmailID_somer@ganjaflex.com,ContactEmailID_tambra@singletechno.com,ContactEmailID_tanja@domzoom.com,ContactEmailID_terry@plussunin.com,ContactEmailID_titus@plexzap.com,ContactEmailID_tyron@hatfan.com,ContactEmailID_ursula@sumace.com,ContactEmailID_vanessa@xx-zobam.com,ContactEmailID_vella@yearin.com,ContactEmailID_verna@statholdings.com,ContactEmailID_williemae@zathunicon.com,ContactEmailID_winston@j-texon.com,ContactEmailID_ying@funholding.com,ContactEmailID_yolando@globexcorporation.com,ContactEmailID_zulema@silis.com,Product_GTX Basic,Product_GTX Plus Basic,Product_GTX Plus Pro,Product_GTXPro,Product_MG Advanced,Product_MG Special,Close_Value,Stage,Label
15,15,15,Funholding,Versie Hillebrand,2016-01-18,2016-11-19,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,54.0,Won,1
16,16,16,Kinnamplus,Donn Cantrell,2016-01-19,2016-03-29,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46.0,Lost,0
18,18,18,Fasehatice,Kary Hendrixson,2016-01-22,2016-03-16,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5149.0,Won,1
19,19,19,Doncon,James Ascencio,2016-01-23,2016-10-06,257,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5673.0,Won,1
20,20,20,Dontechi,Versie Hillebrand,2016-01-24,2016-04-28,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.0,Won,1
21,21,21,Blackzim,Markita Hansen,2016-01-27,2016-11-19,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1043.0,Won,1
22,22,22,Green-Plus,Rosalina Dieter,2016-01-29,2016-09-13,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,635.0,Won,1
23,23,23,Initech,Donn Cantrell,2016-01-30,2016-04-16,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3393.0,Lost,0
24,24,24,Sunnamplex,Vicki Laflamme,2016-02-01,2016-05-01,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,537.0,Lost,0
25,25,25,Scottech,Gladys Colclough,2016-02-03,2016-04-13,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.0,Won,1
26,26,26,Stanredtax,Anna Snelling,2016-02-04,2016-08-24,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5765.0,Won,1
27,27,27,Plussunin,Wilburn Farren,2016-02-06,2016-04-22,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3012.0,Won,1
28,28,28,Condax,Darcel Schlecht,2016-02-09,2016-04-06,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,589.0,Lost,0
29,29,29,Opentech,Violet Mclelland,2016-02-09,2016-10-30,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.0,Won,1
30,30,30,Konex,Rosalina Dieter,2016-02-10,2016-09-20,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,538.0,Won,1
32,32,32,Cheers,Markita Hansen,2016-02-14,2016-09-27,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,601.0,Won,1
33,33,33,Doncon,Zane Levy,2016-02-17,2016-07-18,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5370.0,Won,1
34,34,34,Fasehatice,Kary Hendrixson,2016-02-18,2016-10-17,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,560.0,Lost,0
36,36,36,dambase,Moses Frase,2016-02-20,2016-07-06,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,589.0,Won,1
37,37,37,Kinnamplus,Rosie Papadopoulos,2016-02-22,2016-11-12,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4465.0,Won,1
39,39,39,Isdom,Gladys Colclough,2016-02-22,2016-07-02,131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3440.0,Won,1
42,42,42,Zoomit,Hayden Neloms,2016-02-26,2016-09-03,190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.0,Won,1
